id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1y_in_currency,price_change_percentage_200d_in_currency,price_change_percentage_30d_in_currency
litecoin,ltc,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580,133.89,8942473794,14,,1729009709.0,137.01,128.23,2.51,1.9132500000000001,162542176.0,1.85129,66752414.5153875,84000000.0,,410.26,-67.38665,2021-05-10T03:13:07.904Z,1.15,11546.46037,2015-01-14T00:00:00.000Z,,2021-07-10T04:39:45.461Z,201.73224953755718,27.624770569425404,-22.46425657304326
chainlink,link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1547034700,18.42,8080559672,15,18427328664.0,648641449.0,18.97,17.78,-0.010565874365,-0.057330000000000006,11198195.0,0.13877,438509553.9174637,1000000000.0,1000000000.0,52.7,-65.10268,2021-05-10T00:13:57.214Z,0.14818299999999998,12310.11226,2017-11-29T00:00:00.000Z,,2021-07-10T04:40:04.478Z,201.8267689253832,49.07213475496689,-28.065717362127764
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1548822744,33900.0,6676140938,16,6676140938.0,276479557.0,34258.0,32709.0,827.42,2.50185,136828510.0,2.0924,196975.08458435,196975.08458435,196975.08458435,64565.0,-47.57341,2021-04-14T12:00:05.340Z,3139.17,978.28876,2019-04-02T00:00:00.000Z,,2021-07-10T04:39:37.852Z,267.1998827132605,48.44032413524406,-9.73300342940718
matic-network,matic,Polygon,https://assets.coingecko.com/coins/images/4713/large/matic-token-icon.png?1624446912,1.05,6616630518,17,10451896431.0,460081538.0,1.07,1.02,0.0035296900000000003,0.33798,402735.0,0.006090000000000001,6330554997.0,10000000000.0,10000000000.0,2.62,-60.22769,2021-05-18T19:38:18.813Z,0.0031437600000000002,33051.50656,2019-05-10T00:00:00.000Z,"{'times': 397.4348777437951, 'currency': 'usd', 'percentage': 39743.48777437951}",2021-07-10T04:40:04.881Z,4988.399018311973,5642.844586143219,-30.1431035284153
ethereum-classic,etc,Ethereum Classic,https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1547034169,50.01,6422766589,18,,3355287936.0,51.42,48.83,-0.343113436226,-0.68135,-39852473.3487854,-0.6166600000000001,128429544.9531,210700000.0,,167.09,-70.10903,2021-05-06T18:34:22.133Z,0.615038,8020.38118,2016-07-25T00:00:00.000Z,"{'times': 110.1444155940519, 'currency': 'usd', 'percentage': 11014.441559405192}",2021-07-10T04:40:07.882Z,651.4765883585785,715.4214981134841,-19.86680285145018
theta-token,theta,Theta Network,https://assets.coingecko.com/coins/images/2538/large/theta-token-logo.png?1548387191,6.02,6013960645,19,,193138667.0,6.22,5.88,0.03818628,0.63836,30983382.0,0.51786,1000000000.0,1000000000.0,,15.72,-61.81407,2021-04-16T13:15:11.190Z,0.04039979,14758.29428,2020-03-13T02:24:16.483Z,"{'times': 39.13417877627741, 'currency': 'usd', 'percentage': 3913.417877627741}",2021-07-10T04:40:01.817Z,2403.6229222565794,543.1976103167916,-35.57116902216139
stellar,xlm,Stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1552356157,0.246326,5735900821,20,12324677261.0,378102994.0,0.253104,0.236952,0.00562847,2.3384,124925563.0,2.22645,23270822998.2483,50001803028.5368,50001803028.5368,0.875563,-71.89722,2018-01-03T00:00:00.000Z,0.00047612,51579.36908,2015-03-05T00:00:00.000Z,,2021-07-10T04:40:05.652Z,171.53837426207176,47.92206876446644,-32.32232376557202
internet-computer,icp,Internet Computer,https://assets.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1620703073,39.7,5442182223,21,18652747852.0,187599873.0,42.48,38.95,-0.078261134119,-0.19675,-17948536.52418804,-0.32872,136899213.55,469213710.0,469213710.0,700.65,-94.35132,2021-05-10T16:05:53.653Z,28.53,38.72725,2021-06-26T09:17:59.599Z,,2021-07-10T04:39:54.206Z,,,-51.40057563660698
dai,dai,Dai,https://assets.coingecko.com/coins/images/9956/large/dai-multi-collateral-mcd.png?1574218774,1.0,5260479845,22,5260479845.0,281240380.0,1.01,0.998906,-0.0022503407069999998,-0.22395,-2047784.2613716125,-0.03891,5246904099.29253,5246904099.29253,5246904099.29253,1.22,-17.7486,2020-03-13T03:02:50.373Z,0.9032429999999999,10.99862,2019-11-25T00:04:18.137Z,,2021-07-10T04:05:28.268Z,-1.591545658746621,0.10704733844063201,0.042508243818562004
vechain,vet,VeChain,https://assets.coingecko.com/coins/images/1167/large/VeChain-Logo-768x725.png?1547035194,0.077345,5041139755,23,,522218033.0,0.078926,0.073736,0.00100095,1.3111,78092116.0,1.57347,65241752869.0,86712634466.0,,0.280991,-72.67309,2021-04-19T01:08:21.675Z,0.00191713,3905.26015,2020-03-13T02:29:59.652Z,"{'times': 11.631954573391845, 'currency': 'eth', 'percentage': 1163.1954573391845}",2021-07-10T04:40:04.613Z,323.83147011303777,396.35270063040855,-35.82028933658188
