,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,price_change_percentage_1y_in_currency
14,chainlink,link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1547034700,17.73,7677200402,15,17689012448.0,1068731106,19.18,17.34,-0.651222858597,-3.54338,-260434885.10534763,-3.28101,434009553.9174637,1000000000.0,1000000000.0,52.7,-66.61673,2021-05-10T00:13:57.214Z,0.14818299999999998,11771.68803,2017-11-29T00:00:00.000Z,2021-06-24T03:32:05.236Z,269.6375594962813
15,matic-network,matic,Polygon,https://assets.coingecko.com/coins/images/4713/large/matic-token-icon.png?1624446912,1.16,7278576310,16,11565370849.0,1409100090,1.25,1.12,-0.012479757054,-1.06077,-137015954.15814686,-1.84767,6293422325.0,10000000000.0,10000000000.0,2.62,-55.864580000000004,2021-05-18T19:38:18.813Z,0.0031437600000000002,36688.3041,2019-05-10T00:00:00.000Z,2021-06-24T03:31:53.392Z,5042.954839633945
16,theta-token,theta,Theta Network,https://assets.coingecko.com/coins/images/2538/large/theta-token-logo.png?1548387191,6.8100000000000005,6712231168,17,,422023724,7.53,6.55,-0.197688896479,-2.82119,-306887736.26492405,-4.37217,1000000000.0,1000000000.0,,15.72,-57.30056,2021-04-16T13:15:11.190Z,0.04039979,16514.51806,2020-03-13T02:24:16.483Z,2021-06-24T03:31:17.998Z,2556.693332985057
17,wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1548822744,32788.0,6237462841,18,6237462841.0,436284540,34693.0,32498.0,-921.546870646402,-2.73381,-209685356.9819317,-3.25237,190924.79480179,190924.79480179,190924.79480179,64565.0,-49.40042,2021-04-14T12:00:05.340Z,3139.17,940.7115,2019-04-02T00:00:00.000Z,2021-06-24T03:32:01.448Z,240.82114129357802
18,stellar,xlm,Stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1552356157,0.248575,5767309135,19,,506055764,0.26941899999999996,0.24321399999999999,-0.009601958288,-3.7191400000000003,-227140523.96880436,-3.78918,23189089180.4501,50000000000.0,,0.875563,-71.72349,2018-01-03T00:00:00.000Z,0.00047612,51898.83483,2015-03-05T00:00:00.000Z,2021-06-24T03:31:56.696Z,250.2837089756294
19,ethereum-classic,etc,Ethereum Classic,https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1547034169,40.29,5077515673,20,,3250142796,42.65,38.74,1.3,3.3294,75148818.0,1.50227,128080954.100505,210700000.0,,167.09,-76.33906,2021-05-06T18:34:22.133Z,0.615038,6327.89109,2016-07-25T00:00:00.000Z,2021-06-24T03:31:53.838Z,532.5115177256299
20,dai,dai,Dai,https://assets.coingecko.com/coins/images/9956/large/dai-multi-collateral-mcd.png?1574218774,1.0,4895880847,21,4895880847.0,378069657,1.01,0.9959429999999999,0.00271151,0.27129000000000003,68486497.0,1.41871,4885216368.87884,4885216368.87884,4885216368.87884,1.22,-17.78177,2020-03-13T03:02:50.373Z,0.9032429999999999,10.95385,2019-11-25T00:04:18.137Z,2021-06-24T03:05:21.058Z,-0.419738878518421
21,vechain,vet,VeChain,https://assets.coingecko.com/coins/images/1167/large/VeChain-Logo-768x725.png?1547035194,0.074946,4889584944,23,,1010327917,0.083976,0.071769,-0.0046614117499999995,-5.85553,-308332222.97571754,-5.93184,65241752869.0,86712634466.0,,0.280991,-73.50145,2021-04-19T01:08:21.675Z,0.00191713,3783.84889,2020-03-13T02:29:59.652Z,2021-06-24T03:31:57.964Z,741.6030670042121
22,internet-computer,icp,Internet Computer,https://assets.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1620703073,36.59,4886683727,22,17001307224.0,244818897,40.76,34.94,-2.249260096275,-5.79162,-380446474.1327801,-7.22303,134866041.24,469213710.0,469213710.0,700.65,-94.82913,2021-05-10T16:05:53.653Z,32.29,12.19976,2021-06-22T13:54:50.256Z,2021-06-24T03:31:34.926Z,
23,tron,trx,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1547035066,0.06402000000000001,4587697392,24,,2125205677,0.064266,0.053467,0.0090943,16.55742,663648222.0,16.91233,71660220128.0,100850743812.0,,0.231673,-72.40823,2018-01-05T00:00:00.000Z,0.00180434,3442.71078,2017-11-12T00:00:00.000Z,2021-06-24T03:31:58.827Z,288.79865744490803
24,filecoin,fil,Filecoin,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1602753933,55.75,4518739766,25,109505430576.0,888174929,58.77,52.56,0.608665,1.10385,95006436.0,2.14765,81424099.0,1973200822.0,1973200822.0,236.84,-76.54048,2021-04-01T13:29:41.564Z,20.06,176.98261,2020-12-29T22:32:28.483Z,2021-06-24T03:31:48.139Z,
25,monero,xmr,Monero,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1547033729,207.77,3719366714,26,,202784072,224.0,204.54,-7.936725852038,-3.67938,-150339753.10102463,-3.88504,17938321.8110535,,,542.33,-61.86139,2018-01-09T00:00:00.000Z,0.21617699999999998,95578.86925,2015-01-14T00:00:00.000Z,2021-06-24T03:31:56.492Z,211.01777038058322
26,eos,eos,EOS,https://assets.coingecko.com/coins/images/738/large/eos-eos-logo.png?1547034481,3.59,3439897404,27,,1433426191,3.81,3.54,-0.065231807387,-1.7830400000000002,-70036874.44288349,-1.99539,959465796.7836,,,22.71,-84.24838,2018-04-29T07:50:33.540Z,0.5024000000000001,612.06087,2017-10-23T00:00:00.000Z,2021-06-24T03:31:34.697Z,39.923387463353
27,shiba-inu,shib,Shiba Inu,https://assets.coingecko.com/coins/images/11939/large/shiba.png?1622619446,6.73e-06,3337883433,28,,411945767,7.07e-06,6.549999999999999e-06,2.8074e-08,0.41869,3402532.0,0.10204,497730966630395.75,1000000000000000.0,,3.791e-05,-82.29095,2021-05-10T22:53:42.945Z,5.5999999999999994e-11,11911019.68622,2020-11-28T11:26:25.838Z,2021-06-24T03:32:14.388Z,
28,amp-token,amp,Amp,https://assets.coingecko.com/coins/images/12409/large/amp-200x200.png?1599625397,0.061595,2955067515,29,,57621216,0.066291,0.059267999999999994,-0.001898526149,-2.99012,-170596772.8892293,-5.45794,48013899385.3734,99224051865.3734,,0.12081299999999999,-49.00071,2021-06-16T16:03:41.147Z,0.0025050100000000002,2359.61156,2020-11-04T13:18:12.191Z,2021-06-24T03:31:52.595Z,
29,compound-usd-coin,cusdc,cUSDC,https://assets.coingecko.com/coins/images/9442/large/Compound_USDC.png?1567581577,0.022125620000000002,2923630150,30,,49265227,0.0223393,0.02168647,0.00011105,0.5044500000000001,59377370.0,2.07305,132137749821.324,132137749821.324,,0.058843,-62.39915,2020-10-21T11:24:27.820Z,0.00620705,256.45932,2021-03-04T08:11:37.438Z,2021-06-24T02:57:23.417Z,5.072413028857889
30,cdai,cdai,cDAI,https://assets.coingecko.com/coins/images/9281/large/cDAI.png?1576467585,0.02155963,2807616146,31,,18399445,0.021771930000000002,0.02139004,9.867000000000002e-05,0.45977,-16132520.000303268,-0.57132,130225625667.705,130225625667.705,,0.03159087,-31.7536,2020-10-12T21:29:00.007Z,0.0072885400000000005,195.8016,2020-03-18T04:29:40.819Z,2021-06-24T02:57:31.201Z,4.599009383157625
31,okb,okb,OKB,https://assets.coingecko.com/coins/images/4463/large/okb_token.png?1548386209,9.46,2520425050,32,,355912366,10.35,9.34,-0.417576182799,-4.2292,-131031731.24549198,-4.94188,267436117.72,300000000.0,,44.01,-78.58349,2021-05-03T01:03:16.108Z,0.580608,1523.19507,2019-01-14T00:00:00.000Z,2021-06-24T03:31:53.665Z,85.05998728116725
32,aave,aave,Aave,https://assets.coingecko.com/coins/images/12645/large/AAVE.png?1601374110,197.28,2507504854,33,3133929819.0,327496307,229.06,193.07,-20.483917140836,-9.40659,-280248316.04596996,-10.05284,12801843.047238065,16000000.0,16000000.0,661.69,-70.37398,2021-05-18T21:19:59.514Z,26.02,653.30037,2020-11-05T09:20:11.928Z,2021-06-24T03:31:51.756Z,
33,algorand,algo,Algorand,https://assets.coingecko.com/coins/images/4380/large/download.png?1547039725,0.809283,2485858307,34,8043353493.0,294624813,0.876056,0.793956,0.0028677999999999998,0.35562000000000005,2046111.0,0.08238000000000001,3090574483.96367,10000000000.0,10000000000.0,3.56,-77.41363,2019-06-20T14:51:19.480Z,0.105336,663.59374,2020-03-13T02:20:48.438Z,2021-06-24T03:31:27.897Z,225.8754165656872
34,theta-fuel,tfuel,Theta Fuel,https://assets.coingecko.com/coins/images/8029/large/1_0YusgngOrriVg4ZYx4wOFQ.png?1553483622,0.459011,2438757994,35,,345768426,0.49180599999999997,0.443799,-0.003682437505,-0.7958700000000001,-11427845.043896675,-0.46641000000000005,5301219200.0,5301200000.0,,0.68159,-32.46386,2021-06-09T06:50:55.818Z,0.00090804,50593.81243,2020-03-13T02:30:37.972Z,2021-06-24T03:30:40.112Z,4581.568545992671
35,pancakeswap-token,cake,PancakeSwap,https://assets.coingecko.com/coins/images/12632/large/IMG_0440.PNG?1602654093,13.11,2419894243,36,,247815350,14.11,12.84,-0.116230379915,-0.87899,-20823013.648775578,-0.8531500000000001,185579659.540341,,,43.96,-70.31116,2021-04-30T10:08:22.934Z,0.194441,6612.89054,2020-11-03T14:29:34.165Z,2021-06-24T03:32:04.310Z,
